"STUID","PROGRAM","TERM","EVENT_TYPE"
"STU0001","Liberal Arts",1,"ADVISING_FLAG"
"STU0002","Liberal Arts",5,"LOA"
"STU0004","Liberal Arts",2,"LOA"
"STU0004","Liberal Arts",5,"WITHDRAWAL"
"STU0006","Business",2,"ADVISING_FLAG"
"STU0007","Liberal Arts",8,"ADVISING_FLAG"
"STU0008","Engineering",4,"ADVISING_FLAG"
"STU0009","Business",7,"ADVISING_FLAG"
"STU0010","Liberal Arts",6,"ADVISING_FLAG"
"STU0011","Business",1,"PROBATION"
"STU0011","Business",5,"ADVISING_FLAG"
"STU0012","Liberal Arts",7,"ADVISING_FLAG"
"STU0014","Engineering",1,"ADVISING_FLAG"
"STU0014","Engineering",7,"WITHDRAWAL"
"STU0015","Business",1,"ADVISING_FLAG"
"STU0015","Business",6,"LOA"
"STU0017","Liberal Arts",8,"ADVISING_FLAG"
"STU0018","Engineering",3,"LOA"
"STU0018","Engineering",6,"ADVISING_FLAG"
"STU0018","Engineering",8,"PROBATION"
"STU0019","Business",2,"PROBATION"
"STU0019","Business",5,"PROBATION"
"STU0019","Business",6,"PROBATION"
"STU0019","Business",6,"DISMISSAL"
"STU0020","Business",3,"LOA"
"STU0021","Liberal Arts",4,"PROBATION"
"STU0023","Liberal Arts",6,"PROBATION"
"STU0023","Liberal Arts",7,"PROBATION"
"STU0023","Liberal Arts",7,"DISMISSAL"
"STU0025","Engineering",1,"LOA"
"STU0026","Business",2,"LOA"
"STU0028","Liberal Arts",7,"LOA"
"STU0029","Business",6,"ADVISING_FLAG"
"STU0030","Liberal Arts",4,"ADVISING_FLAG"
"STU0032","Liberal Arts",2,"LOA"
"STU0033","Business",1,"ADVISING_FLAG"
"STU0033","Business",6,"ADVISING_FLAG"
"STU0034","Business",3,"LOA"
"STU0035","Engineering",2,"ADVISING_FLAG"
"STU0036","Liberal Arts",2,"ADVISING_FLAG"
"STU0036","Liberal Arts",3,"ADVISING_FLAG"
"STU0037","Engineering",3,"ADVISING_FLAG"
"STU0037","Engineering",7,"PROBATION"
"STU0038","Engineering",8,"LOA"
"STU0040","Business",6,"LOA"
"STU0040","Business",8,"ADVISING_FLAG"
"STU0041","Business",1,"WITHDRAWAL"
"STU0042","Business",6,"WITHDRAWAL"
"STU0043","Engineering",6,"LOA"
"STU0048","Business",4,"WITHDRAWAL"
"STU0049","Liberal Arts",8,"PROBATION"
"STU0050","Business",3,"WITHDRAWAL"
"STU0051","Engineering",6,"ADVISING_FLAG"
"STU0052","Engineering",1,"PROBATION"
"STU0052","Engineering",6,"PROBATION"
"STU0052","Engineering",7,"PROBATION"
"STU0052","Engineering",7,"DISMISSAL"
"STU0055","Engineering",7,"ADVISING_FLAG"
"STU0063","Liberal Arts",1,"LOA"
"STU0063","Liberal Arts",8,"LOA"
"STU0064","Business",5,"ADVISING_FLAG"
"STU0066","Engineering",5,"ADVISING_FLAG"
"STU0066","Engineering",7,"LOA"
"STU0068","Liberal Arts",2,"LOA"
"STU0068","Liberal Arts",6,"ADVISING_FLAG"
"STU0069","Business",2,"PROBATION"
"STU0069","Business",5,"PROBATION"
"STU0069","Business",6,"PROBATION"
"STU0069","Business",6,"DISMISSAL"
"STU0070","Engineering",4,"ADVISING_FLAG"
"STU0072","Engineering",1,"PROBATION"
"STU0072","Engineering",2,"PROBATION"
"STU0072","Engineering",2,"DISMISSAL"
"STU0075","Engineering",4,"ADVISING_FLAG"
"STU0076","Liberal Arts",2,"PROBATION"
"STU0076","Liberal Arts",3,"PROBATION"
"STU0076","Liberal Arts",3,"DISMISSAL"
"STU0078","Business",2,"ADVISING_FLAG"
"STU0078","Business",5,"WITHDRAWAL"
"STU0079","Business",6,"WITHDRAWAL"
"STU0082","Engineering",2,"WITHDRAWAL"
"STU0083","Business",3,"ADVISING_FLAG"
"STU0083","Business",6,"ADVISING_FLAG"
"STU0085","Liberal Arts",1,"ADVISING_FLAG"
"STU0085","Liberal Arts",5,"LOA"
"STU0086","Business",6,"WITHDRAWAL"
"STU0088","Engineering",3,"ADVISING_FLAG"
"STU0090","Engineering",5,"ADVISING_FLAG"
"STU0093","Engineering",8,"ADVISING_FLAG"
"STU0096","Liberal Arts",5,"ADVISING_FLAG"
"STU0096","Liberal Arts",7,"LOA"
"STU0098","Business",5,"LOA"
"STU0101","Business",2,"ADVISING_FLAG"
"STU0101","Business",5,"ADVISING_FLAG"
"STU0103","Engineering",3,"PROBATION"
"STU0103","Engineering",4,"ADVISING_FLAG"
"STU0103","Engineering",6,"PROBATION"
"STU0103","Engineering",8,"ADVISING_FLAG"
"STU0106","Liberal Arts",8,"ADVISING_FLAG"
"STU0108","Liberal Arts",2,"ADVISING_FLAG"
"STU0109","Business",5,"ADVISING_FLAG"
"STU0110","Engineering",4,"PROBATION"
"STU0110","Engineering",7,"ADVISING_FLAG"
"STU0111","Business",4,"ADVISING_FLAG"
"STU0111","Business",8,"PROBATION"
"STU0112","Liberal Arts",4,"ADVISING_FLAG"
"STU0114","Business",3,"WITHDRAWAL"
"STU0115","Business",3,"LOA"
"STU0118","Business",2,"ADVISING_FLAG"
"STU0119","Business",1,"ADVISING_FLAG"
"STU0119","Business",4,"PROBATION"
"STU0119","Business",5,"PROBATION"
"STU0119","Business",5,"DISMISSAL"
"STU0120","Liberal Arts",1,"ADVISING_FLAG"
"STU0121","Business",2,"PROBATION"
"STU0123","Business",5,"ADVISING_FLAG"
"STU0124","Business",4,"WITHDRAWAL"
"STU0125","Liberal Arts",3,"ADVISING_FLAG"
"STU0125","Liberal Arts",4,"PROBATION"
"STU0125","Liberal Arts",5,"PROBATION"
"STU0125","Liberal Arts",5,"DISMISSAL"
"STU0126","Business",1,"PROBATION"
"STU0126","Business",7,"ADVISING_FLAG"
"STU0128","Liberal Arts",1,"WITHDRAWAL"
"STU0131","Liberal Arts",1,"PROBATION"
"STU0131","Liberal Arts",2,"PROBATION"
"STU0131","Liberal Arts",2,"DISMISSAL"
"STU0133","Business",5,"PROBATION"
"STU0133","Business",6,"LOA"
"STU0133","Business",7,"PROBATION"
"STU0134","Liberal Arts",1,"PROBATION"
"STU0134","Liberal Arts",2,"PROBATION"
"STU0134","Liberal Arts",2,"DISMISSAL"
"STU0135","Liberal Arts",2,"ADVISING_FLAG"
"STU0137","Liberal Arts",2,"ADVISING_FLAG"
"STU0137","Liberal Arts",5,"PROBATION"
"STU0138","Engineering",2,"ADVISING_FLAG"
"STU0140","Business",3,"WITHDRAWAL"
"STU0141","Engineering",1,"PROBATION"
"STU0141","Engineering",2,"PROBATION"
"STU0141","Engineering",2,"DISMISSAL"
"STU0142","Engineering",3,"ADVISING_FLAG"
"STU0144","Liberal Arts",4,"PROBATION"
"STU0144","Liberal Arts",6,"PROBATION"
"STU0146","Liberal Arts",1,"PROBATION"
"STU0147","Engineering",5,"PROBATION"
"STU0148","Liberal Arts",2,"ADVISING_FLAG"
"STU0148","Liberal Arts",7,"PROBATION"
"STU0149","Engineering",2,"LOA"
"STU0150","Engineering",5,"WITHDRAWAL"
"STU0154","Business",6,"LOA"
"STU0155","Business",3,"WITHDRAWAL"
"STU0156","Liberal Arts",5,"WITHDRAWAL"
"STU0157","Engineering",2,"ADVISING_FLAG"
"STU0158","Engineering",8,"LOA"
"STU0162","Business",2,"ADVISING_FLAG"
"STU0162","Business",7,"ADVISING_FLAG"
"STU0164","Engineering",3,"WITHDRAWAL"
"STU0167","Business",1,"ADVISING_FLAG"
"STU0167","Business",8,"ADVISING_FLAG"
"STU0169","Engineering",2,"ADVISING_FLAG"
"STU0170","Engineering",1,"LOA"
"STU0170","Engineering",2,"LOA"
"STU0170","Engineering",5,"ADVISING_FLAG"
"STU0170","Engineering",6,"ADVISING_FLAG"
"STU0171","Liberal Arts",5,"PROBATION"
"STU0171","Liberal Arts",7,"PROBATION"
"STU0171","Liberal Arts",8,"PROBATION"
"STU0171","Liberal Arts",8,"DISMISSAL"
"STU0172","Business",2,"PROBATION"
"STU0172","Business",3,"PROBATION"
"STU0172","Business",3,"DISMISSAL"
"STU0173","Business",1,"PROBATION"
"STU0173","Business",2,"PROBATION"
"STU0173","Business",2,"DISMISSAL"
"STU0174","Business",3,"WITHDRAWAL"
"STU0175","Business",6,"ADVISING_FLAG"
"STU0176","Engineering",1,"WITHDRAWAL"
"STU0177","Liberal Arts",1,"ADVISING_FLAG"
"STU0181","Liberal Arts",3,"WITHDRAWAL"
"STU0185","Liberal Arts",1,"PROBATION"
"STU0185","Liberal Arts",3,"WITHDRAWAL"
"STU0187","Liberal Arts",3,"PROBATION"
"STU0187","Liberal Arts",7,"LOA"
"STU0188","Liberal Arts",8,"ADVISING_FLAG"
"STU0189","Engineering",4,"LOA"
"STU0189","Engineering",5,"ADVISING_FLAG"
"STU0189","Engineering",6,"PROBATION"
"STU0189","Engineering",8,"PROBATION"
"STU0190","Engineering",4,"WITHDRAWAL"
"STU0192","Liberal Arts",1,"ADVISING_FLAG"
"STU0193","Engineering",1,"PROBATION"
"STU0193","Engineering",2,"PROBATION"
"STU0193","Engineering",2,"DISMISSAL"
"STU0197","Business",1,"PROBATION"
"STU0197","Business",2,"PROBATION"
"STU0197","Business",2,"DISMISSAL"
"STU0199","Liberal Arts",6,"ADVISING_FLAG"
"STU0200","Liberal Arts",5,"PROBATION"
"STU0201","Liberal Arts",7,"ADVISING_FLAG"
