"STUID","PROGRAM","TIME","EVENT"
"STU0001","Liberal Arts",8,0
"STU0002","Liberal Arts",8,0
"STU0003","Engineering",8,0
"STU0004","Liberal Arts",5,1
"STU0005","Business",8,0
"STU0006","Business",8,0
"STU0007","Liberal Arts",8,0
"STU0008","Engineering",8,0
"STU0009","Business",8,0
"STU0010","Liberal Arts",8,0
"STU0011","Business",8,0
"STU0012","Liberal Arts",8,0
"STU0013","Liberal Arts",8,0
"STU0014","Engineering",7,1
"STU0015","Business",8,0
"STU0016","Liberal Arts",8,0
"STU0017","Liberal Arts",8,0
"STU0018","Engineering",8,0
"STU0019","Business",6,1
"STU0020","Business",8,0
"STU0021","Liberal Arts",8,0
"STU0022","Engineering",8,0
"STU0023","Liberal Arts",7,1
"STU0024","Liberal Arts",8,0
"STU0025","Engineering",8,0
"STU0026","Business",8,0
"STU0027","Business",8,0
"STU0028","Liberal Arts",8,0
"STU0029","Business",8,0
"STU0030","Liberal Arts",8,0
"STU0031","Liberal Arts",8,0
"STU0032","Liberal Arts",8,0
"STU0033","Business",8,0
"STU0034","Business",8,0
"STU0035","Engineering",8,0
"STU0036","Liberal Arts",8,0
"STU0037","Engineering",8,0
"STU0038","Engineering",8,0
"STU0039","Liberal Arts",8,0
"STU0040","Business",8,0
"STU0041","Business",1,1
"STU0042","Business",6,1
"STU0043","Engineering",8,0
"STU0044","Liberal Arts",8,0
"STU0045","Business",8,0
"STU0046","Liberal Arts",8,0
"STU0047","Liberal Arts",8,0
"STU0048","Business",4,1
"STU0049","Liberal Arts",8,0
"STU0050","Business",3,1
"STU0051","Engineering",8,0
"STU0052","Engineering",7,1
"STU0053","Business",8,0
"STU0054","Liberal Arts",8,0
"STU0055","Engineering",8,0
"STU0056","Liberal Arts",8,0
"STU0057","Business",8,0
"STU0058","Engineering",8,0
"STU0059","Engineering",8,0
"STU0060","Business",8,0
"STU0061","Business",8,0
"STU0062","Liberal Arts",8,0
"STU0063","Liberal Arts",8,0
"STU0064","Business",8,0
"STU0065","Liberal Arts",8,0
"STU0066","Engineering",8,0
"STU0067","Engineering",8,0
"STU0068","Liberal Arts",8,0
"STU0069","Business",6,1
"STU0070","Engineering",8,0
"STU0071","Engineering",8,0
"STU0072","Engineering",2,1
"STU0073","Engineering",8,0
"STU0074","Business",8,0
"STU0075","Engineering",8,0
"STU0076","Liberal Arts",3,1
"STU0077","Engineering",8,0
"STU0078","Business",5,1
"STU0079","Business",6,1
"STU0080","Engineering",8,0
"STU0081","Business",8,0
"STU0082","Engineering",2,1
"STU0083","Business",8,0
"STU0084","Business",8,0
"STU0085","Liberal Arts",8,0
"STU0086","Business",6,1
"STU0087","Engineering",8,0
"STU0088","Engineering",8,0
"STU0089","Engineering",8,0
"STU0090","Engineering",8,0
"STU0091","Business",8,0
"STU0092","Engineering",8,0
"STU0093","Engineering",8,0
"STU0094","Liberal Arts",8,0
"STU0095","Liberal Arts",8,0
"STU0096","Liberal Arts",8,0
"STU0097","Engineering",8,0
"STU0098","Business",8,0
"STU0099","Liberal Arts",8,0
"STU0100","Business",8,0
"STU0101","Business",8,0
"STU0102","Engineering",8,0
"STU0103","Engineering",8,0
"STU0104","Business",8,0
"STU0105","Liberal Arts",8,0
"STU0106","Liberal Arts",8,0
"STU0107","Liberal Arts",8,0
"STU0108","Liberal Arts",8,0
"STU0109","Business",8,0
"STU0110","Engineering",8,0
"STU0111","Business",8,0
"STU0112","Liberal Arts",8,0
"STU0113","Liberal Arts",8,0
"STU0114","Business",3,1
"STU0115","Business",8,0
"STU0116","Business",8,0
"STU0117","Engineering",8,0
"STU0118","Business",8,0
"STU0119","Business",5,1
"STU0120","Liberal Arts",8,0
"STU0121","Business",8,0
"STU0122","Business",8,0
"STU0123","Business",8,0
"STU0124","Business",4,1
"STU0125","Liberal Arts",5,1
"STU0126","Business",8,0
"STU0127","Liberal Arts",8,0
"STU0128","Liberal Arts",1,1
"STU0129","Engineering",8,0
"STU0130","Liberal Arts",8,0
"STU0131","Liberal Arts",2,1
"STU0132","Business",8,0
"STU0133","Business",8,0
"STU0134","Liberal Arts",2,1
"STU0135","Liberal Arts",8,0
"STU0136","Business",8,0
"STU0137","Liberal Arts",8,0
"STU0138","Engineering",8,0
"STU0139","Liberal Arts",8,0
"STU0140","Business",3,1
"STU0141","Engineering",2,1
"STU0142","Engineering",8,0
"STU0143","Business",8,0
"STU0144","Liberal Arts",8,0
"STU0145","Liberal Arts",8,0
"STU0146","Liberal Arts",8,0
"STU0147","Engineering",8,0
"STU0148","Liberal Arts",8,0
"STU0149","Engineering",8,0
"STU0150","Engineering",5,1
"STU0151","Liberal Arts",8,0
"STU0152","Engineering",8,0
"STU0153","Liberal Arts",8,0
"STU0154","Business",8,0
"STU0155","Business",3,1
"STU0156","Liberal Arts",5,1
"STU0157","Engineering",8,0
"STU0158","Engineering",8,0
"STU0159","Engineering",8,0
"STU0160","Business",8,0
"STU0161","Liberal Arts",8,0
"STU0162","Business",8,0
"STU0163","Business",8,0
"STU0164","Engineering",3,1
"STU0165","Business",8,0
"STU0166","Engineering",8,0
"STU0167","Business",8,0
"STU0168","Engineering",8,0
"STU0169","Engineering",8,0
"STU0170","Engineering",8,0
"STU0171","Liberal Arts",8,1
"STU0172","Business",3,1
"STU0173","Business",2,1
"STU0174","Business",3,1
"STU0175","Business",8,0
"STU0176","Engineering",1,1
"STU0177","Liberal Arts",8,0
"STU0178","Business",8,0
"STU0179","Liberal Arts",8,0
"STU0180","Liberal Arts",8,0
"STU0181","Liberal Arts",3,1
"STU0182","Liberal Arts",8,0
"STU0183","Engineering",8,0
"STU0184","Engineering",8,0
"STU0185","Liberal Arts",3,1
"STU0186","Liberal Arts",8,0
"STU0187","Liberal Arts",8,0
"STU0188","Liberal Arts",8,0
"STU0189","Engineering",8,0
"STU0190","Engineering",4,1
"STU0191","Engineering",8,0
"STU0192","Liberal Arts",8,0
"STU0193","Engineering",2,1
"STU0194","Engineering",8,0
"STU0195","Engineering",8,0
"STU0196","Engineering",8,0
"STU0197","Business",2,1
"STU0198","Engineering",8,0
"STU0199","Liberal Arts",8,0
"STU0200","Liberal Arts",8,0
"STU0201","Liberal Arts",8,0
"STU0202","Business",8,0
"STU0203","Liberal Arts",8,0
"STU0204","Business",8,0
"STU0205","Engineering",2,1
"STU0206","Business",8,0
"STU0207","Liberal Arts",8,0
"STU0208","Business",8,0
"STU0209","Engineering",8,0
"STU0210","Engineering",8,0
"STU0211","Business",8,0
"STU0212","Business",8,0
"STU0213","Engineering",1,1
"STU0214","Engineering",3,1
"STU0215","Business",7,1
"STU0216","Liberal Arts",8,0
"STU0217","Business",8,0
"STU0218","Business",8,0
"STU0219","Business",8,0
"STU0220","Liberal Arts",8,0
"STU0221","Business",8,0
"STU0222","Engineering",8,0
"STU0223","Business",8,0
"STU0224","Liberal Arts",1,1
"STU0225","Engineering",8,0
"STU0226","Liberal Arts",8,0
"STU0227","Engineering",8,0
"STU0228","Engineering",5,1
"STU0229","Engineering",8,0
"STU0230","Engineering",8,0
"STU0231","Business",8,0
"STU0232","Engineering",8,0
"STU0233","Engineering",1,1
"STU0234","Engineering",8,0
"STU0235","Liberal Arts",8,0
"STU0236","Liberal Arts",2,1
"STU0237","Engineering",8,0
"STU0238","Liberal Arts",8,0
"STU0239","Business",8,0
"STU0240","Business",8,0
"STU0241","Engineering",8,0
"STU0242","Business",8,0
"STU0243","Engineering",8,0
"STU0244","Engineering",8,0
"STU0245","Business",8,0
"STU0246","Business",8,0
"STU0247","Engineering",8,0
"STU0248","Engineering",8,0
"STU0249","Business",8,0
"STU0250","Liberal Arts",8,0
"STU0251","Engineering",2,1
"STU0252","Engineering",8,0
"STU0253","Engineering",8,0
"STU0254","Business",8,0
