"STUID","PROGRAM","COHORT_YEAR","AGE","SEX","ENTRY_GPA","ENTRY_TEST_SCORE","FINAL_STATUS"
"STU0001","Liberal Arts",2022,17,"F",3.58,1088,"GRADUATED"
"STU0002","Liberal Arts",2022,18,"F",3.59,1205,"GRADUATED"
"STU0003","Engineering",2022,19,"M",3.39,1248,"GRADUATED"
"STU0004","Liberal Arts",2022,19,"F",3.22,1257,"WITHDRAWN"
"STU0005","Business",2022,17,"M",2.75,1331,"GRADUATED"
"STU0006","Business",2022,17,"M",3.18,1340,"GRADUATED"
"STU0007","Liberal Arts",2022,18,"M",3.12,836,"GRADUATED"
"STU0008","Engineering",2022,17,"F",3.57,1459,"GRADUATED"
"STU0009","Business",2022,18,"F",3.82,1268,"GRADUATED"
"STU0010","Liberal Arts",2022,18,"M",3.5,1114,"GRADUATED"
"STU0011","Business",2022,17,"M",2.85,1033,"GRADUATED"
"STU0012","Liberal Arts",2022,19,"M",3.97,1336,"GRADUATED"
"STU0013","Liberal Arts",2022,18,"F",3.7,1249,"GRADUATED"
"STU0014","Engineering",2022,18,"F",3.39,1362,"WITHDRAWN"
"STU0015","Business",2022,18,"M",2.42,1191,"GRADUATED"
"STU0016","Liberal Arts",2022,18,"M",2.92,1163,"GRADUATED"
"STU0017","Liberal Arts",2022,18,"F",3.27,1536,"GRADUATED"
"STU0018","Engineering",2022,19,"F",3.6,895,"GRADUATED"
"STU0019","Business",2022,18,"F",2.83,1259,"DISMISSED"
"STU0020","Business",2022,17,"M",4,1258,"GRADUATED"
"STU0021","Liberal Arts",2022,18,"F",2.28,1266,"GRADUATED"
"STU0022","Engineering",2022,18,"M",3.21,1284,"GRADUATED"
"STU0023","Liberal Arts",2022,18,"M",3.2,1159,"DISMISSED"
"STU0024","Liberal Arts",2022,17,"F",3.03,1375,"GRADUATED"
"STU0025","Engineering",2022,18,"M",3.17,832,"GRADUATED"
"STU0026","Business",2022,18,"M",3.6,1079,"GRADUATED"
"STU0027","Business",2022,18,"M",2.95,1182,"GRADUATED"
"STU0028","Liberal Arts",2022,18,"F",2.47,1224,"GRADUATED"
"STU0029","Business",2022,18,"M",3.34,1261,"GRADUATED"
"STU0030","Liberal Arts",2022,19,"M",3.3,1296,"GRADUATED"
"STU0031","Liberal Arts",2022,18,"M",3.29,974,"GRADUATED"
"STU0032","Liberal Arts",2022,19,"F",3.57,1201,"GRADUATED"
"STU0033","Business",2022,17,"F",3.29,1279,"GRADUATED"
"STU0034","Business",2022,18,"M",3.61,1399,"GRADUATED"
"STU0035","Engineering",2022,18,"M",2.5,1183,"GRADUATED"
"STU0036","Liberal Arts",2022,18,"M",2.85,1440,"GRADUATED"
"STU0037","Engineering",2022,19,"M",3.44,1158,"GRADUATED"
"STU0038","Engineering",2022,18,"F",3.16,1193,"GRADUATED"
"STU0039","Liberal Arts",2022,18,"M",3.68,1224,"GRADUATED"
"STU0040","Business",2022,17,"F",2.9,1125,"GRADUATED"
"STU0041","Business",2022,18,"M",3.59,1307,"WITHDRAWN"
"STU0042","Business",2022,19,"F",3.03,998,"WITHDRAWN"
"STU0043","Engineering",2022,19,"M",2.85,1199,"GRADUATED"
"STU0044","Liberal Arts",2022,19,"M",3.16,1119,"GRADUATED"
"STU0045","Business",2022,17,"F",3.32,1118,"GRADUATED"
"STU0046","Liberal Arts",2022,19,"M",2.81,1373,"GRADUATED"
"STU0047","Liberal Arts",2022,19,"M",2.99,1358,"GRADUATED"
"STU0048","Business",2022,18,"M",2.8,1440,"WITHDRAWN"
"STU0049","Liberal Arts",2022,18,"F",3.71,1160,"GRADUATED"
"STU0050","Business",2022,17,"M",3.59,1205,"WITHDRAWN"
"STU0051","Engineering",2022,17,"M",2.89,967,"GRADUATED"
"STU0052","Engineering",2022,18,"M",3.52,1142,"DISMISSED"
"STU0053","Business",2022,17,"F",3.2,1465,"GRADUATED"
