"STUID","PROGRAM","TERM","TERM_GPA","CREDITS_ATTEMPTED","CREDITS_EARNED"
"STU0001","Liberal Arts",1,4,15,15
"STU0001","Liberal Arts",2,2.51,15,15
"STU0001","Liberal Arts",3,2.89,15,15
"STU0001","Liberal Arts",4,3,15,15
"STU0001","Liberal Arts",5,3.44,15,15
"STU0001","Liberal Arts",6,2.96,15,15
"STU0001","Liberal Arts",7,3.85,15,15
"STU0001","Liberal Arts",8,3.46,15,15
"STU0002","Liberal Arts",1,3.86,15,15
"STU0002","Liberal Arts",2,4,15,15
"STU0002","Liberal Arts",3,3.88,15,15
"STU0002","Liberal Arts",4,4,15,15
"STU0002","Liberal Arts",5,4,15,15
"STU0002","Liberal Arts",6,3.84,15,15
"STU0002","Liberal Arts",7,4,15,15
"STU0002","Liberal Arts",8,4,15,15
"STU0003","Engineering",1,3.82,15,15
"STU0003","Engineering",2,3.6,15,15
"STU0003","Engineering",3,3.53,15,15
"STU0003","Engineering",4,3.65,15,15
"STU0003","Engineering",5,3.59,15,15
"STU0003","Engineering",6,3.8,15,15
"STU0003","Engineering",7,3.91,15,15
"STU0003","Engineering",8,4,15,15
"STU0004","Liberal Arts",1,2.64,15,15
"STU0004","Liberal Arts",2,3.33,15,15
"STU0004","Liberal Arts",3,2.67,15,15
"STU0004","Liberal Arts",4,2.72,15,15
"STU0005","Business",1,2.79,15,15
"STU0005","Business",2,3.42,15,15
"STU0005","Business",3,2.84,15,15
"STU0005","Business",4,3.46,15,15
"STU0005","Business",5,3.59,15,15
"STU0005","Business",6,2.86,15,15
"STU0005","Business",7,2.32,15,15
"STU0005","Business",8,3.16,15,15
"STU0006","Business",1,4,15,15
"STU0006","Business",2,4,15,15
"STU0006","Business",3,3.95,15,15
"STU0006","Business",4,3.73,15,15
"STU0006","Business",5,4,15,15
"STU0006","Business",6,4,15,15
"STU0006","Business",7,4,15,15
"STU0006","Business",8,3.86,15,15
"STU0007","Liberal Arts",1,2.84,15,15
"STU0007","Liberal Arts",2,2.95,15,15
"STU0007","Liberal Arts",3,3.07,15,15
"STU0007","Liberal Arts",4,3.88,15,15
"STU0007","Liberal Arts",5,3.01,15,15
"STU0007","Liberal Arts",6,3.72,15,15
"STU0007","Liberal Arts",7,3.44,15,15
"STU0007","Liberal Arts",8,3.14,15,15
"STU0008","Engineering",1,2.93,15,15
"STU0008","Engineering",2,3.53,15,15
"STU0008","Engineering",3,2.41,15,15
"STU0008","Engineering",4,2.64,15,15
"STU0008","Engineering",5,2.22,15,15
"STU0008","Engineering",6,2.8,15,15
"STU0008","Engineering",7,2.84,15,15
"STU0008","Engineering",8,2.93,15,15
"STU0009","Business",1,3.54,15,15
"STU0009","Business",2,4,15,15
"STU0009","Business",3,4,15,15
"STU0009","Business",4,3.7,15,15
"STU0009","Business",5,3.45,15,15
"STU0009","Business",6,4,15,15
"STU0009","Business",7,3.49,15,15
"STU0009","Business",8,3.44,15,15
"STU0010","Liberal Arts",1,3.71,15,15
"STU0010","Liberal Arts",2,4,15,15
"STU0010","Liberal Arts",3,4,15,15
"STU0010","Liberal Arts",4,4,15,15
"STU0010","Liberal Arts",5,4,15,15
"STU0010","Liberal Arts",6,3.87,15,15
"STU0010","Liberal Arts",7,4,15,15
"STU0010","Liberal Arts",8,4,15,15
"STU0011","Business",1,1.52,15,15
"STU0011","Business",2,2.42,15,15
"STU0011","Business",3,2.09,15,15
"STU0011","Business",4,2.3,15,15
"STU0011","Business",5,2.21,15,15
"STU0011","Business",6,2.7,15,15
"STU0011","Business",7,3.13,15,15
"STU0011","Business",8,2.23,15,15
"STU0012","Liberal Arts",1,3.32,15,15
"STU0012","Liberal Arts",2,3.44,15,15
"STU0012","Liberal Arts",3,3.89,15,15
"STU0012","Liberal Arts",4,4,15,15
"STU0012","Liberal Arts",5,3.29,15,15
"STU0012","Liberal Arts",6,3.95,15,15
"STU0012","Liberal Arts",7,3.97,15,15
"STU0012","Liberal Arts",8,4,15,15
"STU0013","Liberal Arts",1,3.07,15,15
"STU0013","Liberal Arts",2,3.9,15,15
"STU0013","Liberal Arts",3,2.98,15,15
"STU0013","Liberal Arts",4,3.01,15,15
"STU0013","Liberal Arts",5,3.56,15,15
"STU0013","Liberal Arts",6,3.6,15,15
"STU0013","Liberal Arts",7,3.31,15,15
"STU0013","Liberal Arts",8,3.83,15,15
"STU0014","Engineering",1,4,15,15
"STU0014","Engineering",2,3.27,15,15
"STU0014","Engineering",3,3.56,15,15
"STU0014","Engineering",4,3.3,15,15
"STU0014","Engineering",5,4,15,15
"STU0014","Engineering",6,3.64,15,15
"STU0015","Business",1,2.29,15,15
"STU0015","Business",2,3.04,15,15
"STU0015","Business",3,2.32,15,15
"STU0015","Business",4,3.24,15,15
"STU0015","Business",5,2.85,15,15
"STU0015","Business",6,3.18,15,15
"STU0015","Business",7,3.2,15,15
"STU0015","Business",8,3.77,15,15
"STU0016","Liberal Arts",1,3.07,15,15
"STU0016","Liberal Arts",2,3.36,15,15
"STU0016","Liberal Arts",3,3.46,15,15
"STU0016","Liberal Arts",4,2.73,15,15
